Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.05,1.09,42.31,1.43,0.25,0.3,27.45,81.86,1.53,0.4,1.04,1.19,0.54,3.12,0.35,43.21,0.84,Alassane Ndao,ndao-alassane,,Konyaspor
0.04,1.37,50.0,0.51,0.13,0.26,26.14,78.46,0.85,0.6,1.28,2.26,1.88,5.98,0.6,57.89,2.35,Mustafa Eskihellaç,mustafa-eskihellac,,Gaziantep FK
0.04,0.47,68.75,0.94,0.26,0.09,42.76,88.53,0.55,0.04,1.79,2.34,2.22,3.92,2.39,60.91,1.19,Richard Cândido,richard-candido,,Alanyaspor
0.0,0.26,46.15,1.01,0.09,0.18,56.56,89.04,0.83,0.13,4.07,2.41,1.4,4.51,0.92,52.54,1.93,Lucas Torreira,lucas-torreira,,Galatasaray
0.0,0.8,37.93,1.96,0.44,0.44,45.83,83.82,1.6,0.36,2.61,2.03,1.16,4.42,0.15,45.0,1.74,Fred,fred,Fenerbahçe,
0.0,1.24,77.78,1.11,0.18,0.09,50.01,84.68,1.24,0.18,2.44,2.75,1.77,5.23,2.35,55.34,1.24,İsmail Yüksek,ismail-yuksek,Fenerbahçe,
0.0,1.6,54.05,2.25,0.8,0.48,28.96,80.94,3.05,2.17,2.33,1.04,0.56,4.57,0.4,43.97,1.93,Ramzi Safuri,ramzi-safuri,Antalyaspor,
0.0,0.54,66.67,0.2,0.07,0.4,55.64,87.17,1.48,1.21,4.56,1.28,0.94,2.89,1.21,53.98,1.07,Amir Hadžiahmetović,amir-hadziahmetovic,Beşiktaş,
0.0,1.44,58.33,1.92,0.75,0.27,21.08,74.58,1.57,0.89,2.33,1.1,0.21,5.34,0.55,50.59,2.87,Emrah Başsan,emrah-bassan,Sivasspor,
0.0,1.11,43.33,0.6,0.0,0.17,29.06,83.91,1.63,0.6,0.26,2.14,0.77,4.11,1.11,47.29,0.94,Abdülkadir Ömür,abdulkadir-omur,Trabzonspor,
